SITE,NH3-N,NO3&NO2,PO43-,Depth/Width,COND, DO,TURB,TEMP,PH,<2mm,CANOPY,Med.Flow,Mean.Flow,Drain(sqkm),Avg.Temp,AvgPPT,Forest,log NH3,logNO3,logPO4,log.med.flow,log.mean.flow,log.avg.ppt,Shannon Index of Invertebrate Diversity,Alisotricha,Ameletus,Ametropus,Amnicola,Amphiagrion,Ancyronyx,Argia,Baetis,Baetodes,Belastoma,Berosus,Biomphalaria,Bithynia,Brachycerus,Brechmorhoga,Caecidotea,Caenis,Camelobaetidius,Campeloma,Centroptilum,Cercobrachys,Cheumatopsyche,Chimarra,Chromagrion,Cloeon,Corbicula,Cyphon,Dubiraphia,Elodes,Erpetogomphus,Erythemis,Fallceon,Farrodes,Ferrissia,Fossaria,Gammarus,Glaenocorsia,Gyraulus,Gyretes,Hebrus,HeliciNA,Helisoma,HetaeriNA,Heterelmis,Hyalella,HydraeNA,Hydrobius,HydrophiliNAe,Hydropsyche,Hydroptilidae,Isonychia,Leptoceridae,Leptohyphes,Leptonema,Limnocoris,Limnoporus,Linisa,Lipogomphus,Macronychus,Melanoides,Menetus,Mesovelia,Metrichia,Metricia,Microvelia,Morphocorixa,NA,Nectopsyche,Neoelmis,Neoneura,Neoplea,Orconectes,Palaemonetes,Pelocoris,Peltodytes,Philopotamidae,Physa,Physella,Pisidum,Planorbula,Plauditis,Pomatopsis,Potamyia,Procloeon,Pseudocloeon,Pseudosuccinea,RaNAtra,Rhagovelia,Rheumatobates,Scirtes,Siphlonurus,Smicridia,Stactobiella,Stenelmis,Stenonema,Strobilops,Subfam.: SphaeridiiNAe,SyNAptonecta,Thraulodes,Trepobates,Valvata,(blank),Calopteryx,Baetidae,Isonychiidae,Macrelmis,Grand Total,,
TRC,0.1525,0.07,0.125,0.041471242,NA,120.225,66.1316914,22.525,7.9875,57.5,21.58333333,NA,NA,NA,NA,NA,NA,-0.816730156,-1.15490196,-0.903089987,NA,NA,NA,0.664474,0,0,0,1,0,0,0,0,0,0,0,1,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,,
PDC,0.075,0.0225,0.2975,0.065999328,736.75,77.65,66.19850575,18.875,7.1825,57.5,0.333333333,0.23,4.031984444,337.3,21.5275,78.72898551,34.85,-1.124938737,-1.647817482,-0.52651303,-0.638272164,0.605518848,1.896134655,2.545774,0,2,0,0,7,0,5,3,0,0,0,0,0,21,0,0,0,0,0,0,2,10,0,0,0,5,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,8,0,0,27,1,0,0,0,0,0,0,2,0,0,3,0,0,0,61,0,0,4,4,1,0,1,0,0,0,1,0,3,0,0,0,5,14,0,0,8,0,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,313,,
PLC,0.0875,0.44,0.2975,0.074740784,1135.5,103.65,70.65977391,24.625,7.3125,72.5,11.66666667,NA,NA,NA,NA,NA,NA,-1.057991947,-0.356547324,-0.52651303,NA,NA,NA,1.685584,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,30,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,147,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
