"SUBKINGDOM"	"INFRAKINGDOM"	"SUPERPHYLUM"	"PHYLUM"	"SUBPHYLUM"	"INFRAPHYLUM"	"SUPERCLASS"	"CLASS"	"SUBCLASS"	"INFRACLASS"	"SUPERORDER"	"ORDER"	"SUBORDER"	"INFRAORDER"	"SUPERFAMILY"	"FAMILY"	"SUBFAMILY"	"TRIBE"	"SUBTRIBE"	"GENUS"	"SPECIES"	"TAXON"	"taxaname.orig"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"HETERELMIS"	NA	"HETERELMIS"	"Heterelmis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"MACRELMIS"	NA	"MACRELMIS"	"Macrelmis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"MACRONYCHUS"	NA	"MACRONYCHUS"	"Macronychus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"NEOELMIS"	NA	"NEOELMIS"	"Neoelmis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"BYRRHOIDEA"	"ELMIDAE"	NA	NA	NA	"STENELMIS"	NA	"STENELMIS"	"Stenelmis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"SCIRTOIDEA"	"SCIRTIDAE"	NA	NA	NA	"CYPHON"	NA	"CYPHON"	"Cyphon"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"SCIRTOIDEA"	"SCIRTIDAE"	NA	NA	NA	"ELODES"	NA	"ELODES"	"Elodes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"ELATERIFORMIA"	"SCIRTOIDEA"	"SCIRTIDAE"	NA	NA	NA	"SCIRTES"	NA	"SCIRTES"	"Scirtes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"BEROSINI"	NA	"BEROSUS"	NA	"BEROSUS"	"Berosus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	"HYDROPHILINI"	NA	"HYDROBIUS"	NA	"HYDROBIUS"	"Hydrobius"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"HYDROPHILINAE"	NA	NA	NA	NA	"HYDROPHILINAE"	"Hydrophilinae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"HYDROPHILOIDEA"	"HYDROPHILIDAE"	"SPHAERIDIINAE"	NA	NA	NA	NA	"SPHAERIDIINAE"	"Sphaeridiinae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"COLEOPTERA"	"POLYPHAGA"	"STAPHYLINIFORMIA"	"STAPHYLINOIDEA"	"HYDRAENIDAE"	"HYDRAENINAE"	"HYDRAENINI"	NA	"HYDRAENA"	NA	"HYDRAENA"	"Hydraena"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"DIPTERA"	"BRACHYCERA"	"MUSCOMORPHA"	NA	"TACHINIDAE"	"DEXIINAE"	"VORIINI"	NA	"MENETUS"	NA	"MENETUS"	"Menetus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"HYDROPSYCHOIDEA"	"HYDROPSYCHIDAE"	"HYDROPSYCHINAE"	NA	NA	"CHEUMATOPSYCHE"	NA	"CHEUMATOPSYCHE"	"Cheumatopsyche"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"HYDROPSYCHOIDEA"	"HYDROPSYCHIDAE"	"HYDROPSYCHINAE"	NA	NA	"HYDROPSYCHE"	NA	"HYDROPSYCHE"	"Hydropsyche"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"HYDROPSYCHOIDEA"	"HYDROPSYCHIDAE"	"HYDROPSYCHINAE"	NA	NA	"POTAMYIA"	NA	"POTAMYIA"	"Potamyia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"HYDROPSYCHOIDEA"	"HYDROPSYCHIDAE"	"MACRONEMATINAE"	"MACRONEMATINI"	NA	"LEPTONEMA"	NA	"LEPTONEMA"	"Leptonema"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"HYDROPSYCHOIDEA"	"HYDROPSYCHIDAE"	"SMICRIDEINAE"	NA	NA	"SMICRIDEA"	NA	"SMICRIDEA"	"SMICRIDeA"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"HYDROPTILOIDEA"	"HYDROPTILIDAE"	"HYDROPTILINAE"	"LEUCOTRICHIINI"	NA	"ALISOTRICHIA"	NA	"ALISOTRICHIA"	"Alisotrichia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"HYDROPTILOIDEA"	"HYDROPTILIDAE"	"HYDROPTILINAE"	"OCHROTRICHIINI"	NA	"METRICHIA"	NA	"METRICHIA"	"Metrichia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"HYDROPTILOIDEA"	"HYDROPTILIDAE"	"HYDROPTILINAE"	"STACTOBIINI"	NA	"STACTOBIELLA"	NA	"STACTOBIELLA"	"Stactobiella"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"HYDROPTILOIDEA"	"HYDROPTILIDAE"	NA	NA	NA	NA	NA	"HYDROPTILIDAE"	"Hydroptilidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"LEPTOCEROIDEA"	"LEPTOCERIDAE"	"LEPTOCERINAE"	"NECTOPSYCHINI"	NA	"NECTOPSYCHE"	NA	"NECTOPSYCHE"	"Nectopsyche"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"LEPTOCEROIDEA"	"LEPTOCERIDAE"	NA	NA	NA	NA	NA	"LEPTOCERIDAE"	"Leptoceridae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"PHILOPOTAMOIDEA"	"PHILOPOTAMIDAE"	"CHIMARRINAE"	NA	NA	"CHIMARRA"	NA	"CHIMARRA"	"Chimarra"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"HOLOMETABOLA"	"TRICHOPTERA"	NA	NA	"PHILOPOTAMOIDEA"	"PHILOPOTAMIDAE"	NA	NA	NA	NA	NA	"PHILOPOTAMIDAE"	"Philopotamidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"GERROMORPHA"	"GERROIDEA"	"GERRIDAE"	"GERRINAE"	NA	NA	"LIMNOPORUS"	NA	"LIMNOPORUS"	"Limnoporus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"GERROMORPHA"	"GERROIDEA"	"GERRIDAE"	"RHAGODOTARSINAE"	NA	NA	"RHEUMATOBATES"	NA	"RHEUMATOBATES"	"Rheumatobates"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"GERROMORPHA"	"GERROIDEA"	"GERRIDAE"	"TREPOBATINAE"	NA	NA	"TREPOBATES"	NA	"TREPOBATES"	"Trepobates"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"GERROMORPHA"	"GERROIDEA"	"VELIIDAE"	"MICROVELIINAE"	NA	NA	"MICROVELIA"	NA	"MICROVELIA"	"Microvelia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"GERROMORPHA"	"GERROIDEA"	"VELIIDAE"	"RHAGOVELIINAE"	NA	NA	"RHAGOVELIA"	NA	"RHAGOVELIA"	"Rhagovelia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"GERROMORPHA"	"HEBROIDEA"	"HEBRIDAE"	"HEBRINAE"	NA	NA	"HEBRUS"	NA	"HEBRUS"	"Hebrus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"GERROMORPHA"	"HEBROIDEA"	"HEBRIDAE"	"HEBRINAE"	NA	NA	"LIPOGOMPHUS"	NA	"LIPOGOMPHUS"	"Lipogomphus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"GERROMORPHA"	"MESOVELIOIDEA"	"MESOVELIIDAE"	"MESOVELIINAE"	NA	NA	"MESOVELIA"	NA	"MESOVELIA"	"Mesovelia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"CORIXOIDEA"	"CORIXIDAE"	"CORIXINAE"	NA	NA	"GLAENOCORISA"	NA	"GLAENOCORISA"	"Glaenocorisa"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"CORIXOIDEA"	"CORIXIDAE"	"CORIXINAE"	NA	NA	"MORPHOCORIXA"	NA	"MORPHOCORIXA"	"Morphocorixa"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"CORIXOIDEA"	"CORIXIDAE"	NA	NA	NA	"SYNAPTONECTA"	NA	"SYNAPTONECTA"	"Synaptonecta"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"NAUCOROIDEA"	"NAUCORIDAE"	"LIMNOCORINAE"	NA	NA	"LIMNOCORIS"	NA	"LIMNOCORIS"	"Limnocoris"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"NAUCOROIDEA"	"NAUCORIDAE"	"NAUCORINAE"	NA	NA	"PELOCORIS"	NA	"PELOCORIS"	"Pelocoris"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"NEPOIDEA"	"BELOSTOMATIDAE"	"BELOSTOMATINAE"	NA	NA	"BELOSTOMA"	NA	"BELOSTOMA"	"Belostoma"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"NEPOIDEA"	"NEPIDAE"	"RANATRINAE"	NA	NA	"RANATRA"	NA	"RANATRA"	"Ranatra"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"NEOPTERA"	"PARANEOPTERA"	"HEMIPTERA"	"HETEROPTERA"	"NEPOMORPHA"	"NOTONECTOIDEA"	"PLEIDAE"	NA	NA	NA	"NEOPLEA"	NA	"NEOPLEA"	"Neoplea"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"FURCATERGALIA"	"LANCEOLATA"	NA	"LEPTOPHLEBIIDAE"	NA	NA	NA	"FARRODES"	NA	"FARRODES"	"Farrodes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"FURCATERGALIA"	"PANNOTA"	"CAENOIDEA"	"CAENIDAE"	"BRACHYCERCINAE"	"CERCOBRACHINI"	NA	"CERCOBRACHYS"	NA	"CERCOBRACHYS"	"Cercobrachys"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"FURCATERGALIA"	"PANNOTA"	"CAENOIDEA"	"CAENIDAE"	"CAENINAE"	NA	NA	"CAENIS"	NA	"CAENIS"	"Caenis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"FURCATERGALIA"	"PANNOTA"	"EPHEMERELLOIDEA"	"LEPTOHYPHIDAE"	NA	NA	NA	"LEPTOHYPHES"	NA	"LEPTOHYPHES"	"Leptohyphes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	"HEPTAGENIOIDEA"	"HEPTAGENIIDAE"	NA	NA	NA	"STENONEMA"	NA	"STENONEMA"	"Stenonema"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	"HEPTAGENIOIDEA"	"ISONYCHIIDAE"	NA	NA	NA	"ISONYCHIA"	NA	"ISONYCHIA"	"Isonychia"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	"HEPTAGENIOIDEA"	"ISONYCHIIDAE"	NA	NA	NA	NA	NA	"ISONYCHIIDAE"	"Isonychiidae"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"AMELETIDAE"	NA	NA	NA	"AMELETUS"	NA	"AMELETUS"	"Ameletus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"AMETROPODIDAE"	NA	NA	NA	"AMETROPUS"	NA	"AMETROPUS"	"Ametropus"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"BAETIS"	NA	"BAETIS"	"Baetis"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"BAETODES"	NA	"BAETODES"	"Baetodes"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"CAMELOBAETIDIUS"	NA	"CAMELOBAETIDIUS"	"Camelobaetidius"
"BILATERIA"	"PROTOSTOMIA"	"ECDYSOZOA"	"ARTHROPODA"	"HEXAPODA"	NA	NA	"INSECTA"	"PTERYGOTA"	"PALAEOPTERA"	NA	"EPHEMEROPTERA"	"PISCIFORMA"	NA	NA	"BAETIDAE"	NA	NA	NA	"CENTROPTILUM"	NA	"CENTROPTILUM"	"Centroptilum"
